Question	Answer	Tags
What is the paradoxical effect of low-dose atropine?	Very low doses may cause paradoxical decrease in HR (central vagal response).	ccrn::pharmacology ccrn::atropine
What is a contraindication to atropine?	Heart transplant patients (risk of prolonged heart block due to denervated heart).	ccrn::pharmacology ccrn::atropine
What are atropine's adverse effects?	Tachydysrhythmias; vision changes; dry mouth; mental status changes (especially elderly).	ccrn::pharmacology ccrn::atropine
What is glycopyrrolate?	Parasympatholytic; synthetic atropine derivative; does NOT cross the blood-brain barrier → no CNS effects; longer duration than atropine.	ccrn::pharmacology ccrn::glycopyrrolate
What is the advantage of glycopyrrolate over atropine?	Does not cross the blood-brain barrier → no mental status changes; longer duration (2–3 hours).	ccrn::pharmacology ccrn::glycopyrrolate
What is the typical glycopyrrolate dose?	0.1–0.4 mg IV bolus; titrate to effect; lasts 2–3 hours.	ccrn::pharmacology ccrn::glycopyrrolate
What is cardiogenic shock?	Inadequate perfusion due to failure of the heart to pump effectively; low CO, high SVR.	ccrn::pharmacology ccrn::shock
What formula describes cardiac output?	CO = Stroke Volume × Heart Rate.	ccrn::pharmacology ccrn::physiology ccrn::shock
What is the first-line inotrope for cardiogenic shock?	Dobutamine.	ccrn::pharmacology ccrn::shock ccrn::dobutamine
When is milrinone preferred over dobutamine in cardiogenic shock?	High SVR; pulmonary hypertension; patient on beta-blockers or beta-agonists; down-regulated beta receptors.	ccrn::pharmacology ccrn::shock ccrn::milrinone
When is epinephrine preferred in cardiogenic shock?	Low blood pressure with need for combined inopressor effect.	ccrn::pharmacology ccrn::shock ccrn::epi
What is the preferred vasopressor for undifferentiated shock?	Norepinephrine.	ccrn::pharmacology ccrn::shock ccrn::norepi
What is the advantage of vasopressin over catecholamines in distributive shock with acidosis?	Vasopressin is equally efficacious at low pH; catecholamine receptors are impaired in acidosis.	ccrn::pharmacology ccrn::shock ccrn::vasopressin
What vasopressor is preferred in RV failure?	Vasopressin (maintains systemic BP without raising pulmonary vascular resistance).	ccrn::pharmacology ccrn::shock ccrn::vasopressin
Why is phenylephrine avoided in RV failure?	Increases RV afterload (pulmonary vasoconstriction) and provides no inotropy.	ccrn::pharmacology ccrn::shock ccrn::phenylephrine
What are causes of increased RV afterload in ICU patients?	Volume overload; hypoxemia; hypercarbia; acidosis; positive pressure ventilation; left-sided heart failure.	ccrn::pharmacology ccrn::shock
What is ventricular interdependence?	Increased RV pressure shifts the interventricular septum leftward → impairs LV filling and stroke volume.	ccrn::pharmacology ccrn::physiology ccrn::shock
In aortic stenosis, what hemodynamic targets are preferred?	Lower heart rate (slower = more fill time); higher afterload (vasopressors like phenylephrine or vasopressin); avoid inotropy/chronotropy.	ccrn::pharmacology ccrn::shock
In valvular regurgitation, what hemodynamic targets are preferred?	Higher heart rate (less time for regurgitation); lower afterload (inodilators like milrinone/dobutamine).	ccrn::pharmacology ccrn::shock
Why are chronotropic agents avoided in mitral or aortic stenosis?	Tachycardia reduces filling time across the stenotic valve → worse hemodynamics.	ccrn::pharmacology ccrn::shock
What is diastolic dysfunction?	Impaired myocardial relaxation; may coexist with normal or reduced ejection fraction.	ccrn::pharmacology ccrn::physiology
Why is tachycardia harmful in diastolic dysfunction?	Reduced diastolic filling time worsens cardiac output.	ccrn::pharmacology ccrn::physiology
How does positive pressure ventilation help diastolic dysfunction?	Decreases preload and afterload; improves oxygenation; reduces work of breathing.	ccrn::pharmacology ccrn::physiology
What is the treatment for calcium channel blocker (non-DHP) toxicity?	Calcium chloride (competitive agonism); glucagon (bypasses receptor); high-dose insulin/glucose; epinephrine; mechanical circulatory support if refractory.	ccrn::pharmacology ccrn::toxicology
What is the treatment for beta-blocker toxicity?	Glucagon (bypasses beta receptor); calcium; beta-agonists (isoproterenol, dobutamine, epi); high-dose insulin/glucose; lipid emulsion; mechanical support if refractory.	ccrn::pharmacology ccrn::toxicology
How does glucagon treat beta-blocker toxicity?	Increases cAMP via a receptor independent of beta receptors → restores inotropy/chronotropy.	ccrn::pharmacology ccrn::toxicology ccrn::glucagon
Why is high-dose insulin effective in CCB and beta-blocker toxicity?	Mechanism is non-catecholamine-mediated; shifts myocardial metabolism to carbohydrates.	ccrn::pharmacology ccrn::toxicology ccrn::insulin
What is an intra-aortic balloon pump (IABP)?	Mechanical circulatory support; expands during diastole → augments diastolic pressure and coronary perfusion; ~1–2 L/min augmentation.	ccrn::pharmacology ccrn::mechanical_support
What is VA-ECMO?	Venoarterial extracorporeal membrane oxygenation; biventricular support + oxygenation; highest flow rates among mechanical support devices.	ccrn::pharmacology ccrn::mechanical_support
When is mechanical circulatory support indicated in cardiogenic shock?	Reversible cause present (coronary occlusion, toxic overdose) as bridge to recovery or transplant.	ccrn::pharmacology ccrn::mechanical_support
What is the preferred route for vasopressor infusions?	Central venous catheter (reduces extravasation risk); peripheral IV acceptable short-term at low doses.	ccrn::pharmacology ccrn::administration
Which vasopressors are safer to give peripherally?	Phenylephrine and epinephrine (tolerated subcutaneously); norepinephrine and dopamine carry extravasation risk.	ccrn::pharmacology ccrn::administration
What is a push-dose pressor?	Diluted vasoactive bolus (e.g., epinephrine 10 mcg/mL or phenylephrine 100 mcg/mL) given as 1–2 mL IV boluses for immediate BP support.	ccrn::pharmacology ccrn::administration
What is the first step in approaching undifferentiated hypotension?	Assess cardiac pump function (point-of-care echo): dysrhythmia? systolic dysfunction? valvular abnormality?	ccrn::pharmacology ccrn::shock
In undifferentiated hypotension with normal heart and low preload, what is the treatment?	Volume resuscitation (hypovolemic shock).	ccrn::pharmacology ccrn::shock
In undifferentiated hypotension with normal heart and adequate preload, what is the treatment?	Vasopressor (distributive shock).	ccrn::pharmacology ccrn::shock
How does dobutamine differ from milrinone mechanistically?	Dobutamine: beta-1 agonist (receptor-dependent); Milrinone: PDE-III inhibitor (receptor-independent, bypasses beta receptors).	ccrn::pharmacology ccrn::dobutamine ccrn::milrinone
Compare norepinephrine vs phenylephrine in distributive shock.	Norepi: alpha-1 dominant + mild beta-1 inotropy → preferred (maintains CO); Phenylephrine: pure alpha-1 → may decrease CO.	ccrn::pharmacology ccrn::norepi ccrn::phenylephrine
What is the main difference between vasopressin and catecholamines in shock?	Vasopressin: pH-insensitive, no pulmonary vasoconstriction; catecholamines: impaired in acidosis, may increase PVR.	ccrn::pharmacology ccrn::vasopressin
Compare methylene blue vs hydroxocobalamin for vasoplegia.	Both inhibit NO synthase; MB: cheaper but risks serotonin syndrome/hemolysis (G6PD); Hydroxocobalamin: safer but expensive, interferes with labs.	ccrn::pharmacology ccrn::methylene_blue ccrn::hydroxocobalamin
